CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
145917-EIM,2017,0,0,0,0,0,0,0,0,5,3,13,0
145919-WIE,2017,0,0,0,0,0,0,0,0,30,7,6,3
145920-FIN,2017,0,0,0,0,0,0,0,0,4,3,2,0
145921-OIW,2017,0,0,0,0,0,0,0,0,9,0,0,0
145923-GIO,2017,0,0,0,0,0,0,0,0,14,6,10,3
145924-PIX,2017,0,0,0,0,0,0,0,0,4,1,1,5
145925-YIG,2017,0,0,0,0,0,0,0,0,1,1,0,0
145926-HIP,2017,0,0,0,0,0,0,0,0,0,0,0,4
145927-QIY,2017,0,0,0,0,0,0,0,0,0,2,11,5
145928-ZIH,2017,0,0,0,0,0,0,0,0,3,4,12,3
145929-IJQ,2017,0,0,0,0,0,0,0,0,6,8,12,4
145932-JJR,2017,0,0,0,0,0,0,0,0,0,0,0,5
145933-SJA,2017,0,0,0,0,0,0,0,0,12,1,39,1
145938-LJT,2017,0,0,0,0,0,0,0,0,0,0,0,1
145941-MJU,2017,0,0,0,0,0,0,0,0,4,1,2,7
145942-VJD,2017,0,0,0,0,0,0,0,0,0,0,10,5
145943-EJM,2017,0,0,0,0,0,0,0,0,1,3,0,0
145945-WJE,2017,0,0,0,0,0,0,0,0,2,1,19,2
145946-FJN,2017,0,0,0,0,0,0,0,0,0,2,0,5
145947-OJW,2017,0,0,0,0,0,0,0,0,23,11,2,4
145948-XJF,2017,0,0,0,0,0,0,0,0,0,0,0,1
145949-GJO,2017,0,0,0,0,0,0,0,0,2,0,1,0
145950-PJX,2017,0,0,0,0,0,0,0,0,3,0,9,7
145952-HJP,2017,0,0,0,0,0,0,0,0,0,0,0,25
145954-ZJH,2017,0,0,0,0,0,0,0,0,4,5,0,1
145956-RKZ,2017,0,0,0,0,0,0,0,0,4,1,0,0
145958-JKR,2017,0,0,0,0,0,0,0,0,0,0,0,15
145959-SKA,2017,0,0,0,0,0,0,0,0,1,2,4,0
145960-BKJ,2017,0,0,0,0,0,0,0,0,2,3,5,2
145961-KKS,2017,0,0,0,0,0,0,0,0,0,1,1,0
145962-TKB,2017,0,0,0,0,0,0,0,0,6,1,0,0
145963-CKK,2017,0,0,0,0,0,0,0,0,0,0,0,24
145966-DKL,2017,0,0,0,0,0,0,0,0,25,0,0,1
145968-VKD,2017,0,0,0,0,0,0,0,0,10,5,0,0
145969-EKM,2017,0,0,0,0,0,0,0,0,0,0,0,2
145970-NKV,2017,0,0,0,0,0,0,0,0,7,17,1,0
145971-WKE,2017,0,0,0,0,0,0,0,0,3,16,6,0
145973-OKW,2017,0,0,0,0,0,0,0,0,0,0,82,82
145975-GKO,2017,0,0,0,0,0,0,0,0,1,1,3,0
145978-HKP,2017,0,0,0,0,0,0,0,0,2,2,12,8
145979-QKY,2017,0,0,0,0,0,0,0,0,0,0,2,2
145984-JLR,2017,0,0,0,0,0,0,0,0,0,0,80,33
145985-SLA,2017,0,0,0,0,0,0,0,0,4,0,4,3
145986-BLJ,2017,0,0,0,0,0,0,0,0,1,1,6,8
145988-TLB,2017,0,0,0,0,0,0,0,0,0,0,0,49
145989-CLK,2017,0,0,0,0,0,0,0,0,13,9,0,0
145990-LLT,2017,0,0,0,0,0,0,0,0,16,4,65,16
145993-MLU,2017,0,0,0,0,0,0,0,0,0,1,0,0
145995-ELM,2017,0,0,0,0,0,0,0,0,1,0,10,1
145996-NLV,2017,0,0,0,0,0,0,0,0,1,0,14,5
145998-FLN,2017,0,0,0,0,0,0,0,0,2,1,9,9
146001-GLO,2017,0,0,0,0,0,0,0,0,0,0,12,0
